1924 12 March,Red Splash,5/1 
1925 11 March,Ballinode,3/1 
1926 9 March,Koko,10/1 
1927 8 March,Thrown In,10/1 
1928 13 March,Patron Saint,7/2 
1929 12 March,Easter Hero,7/4F 
1930 11 March,Easter Hero,8/11F 
1932 1 March,Golden Miller,13/2 
1933 7 March,Golden Miller,4/7F 
1934 6 March,Golden Miller,6/5F 
1935 14 March,Golden Miller,1/2F 
1936 12 March,Golden Miller,21/20F 
1938 10 March,Morse Code,13/2 
1939 9 March,Brendan's Cottage,8/1 
1940 20 March,Roman Hackle,EvensF 
1941 20 March,Poet Prince,7/2 
1942 21 March,Medoc II,9/2 
1945 17 March,Red Rower,11/4F 
1946 14 March,Prince Regent,4/7F 
1947 12 April,Fortina,8/1 
1948 4 March,Cottage Rake,10/1 
1949 11 April,Cottage Rake,4/6F 
1950 9 March,Cottage Rake,5/6F 
1951 25 April,Silver Fame,6/4F 
1952 6 March,Mont Tremblant,8/1 
1953 5 March,Knock Hard,11/2 
1954,Four Ten,100/6 
1955,Gay Donald,33/1 
1956,Limber Hill,11/8f 
1957,Linwell,100/9 
1958,Kerstin,7/1 
1959,Roddy Owen,5/1 
1960,Pas Seul,6/1 
1961,Saffron Tartan,2/1 
1962,Mandarin,7/2 
1963,Mill House,7/2 
1964,Arkle,7/4 
1965,Arkle,30/100f 
1966,Arkle,1/10f 
1967,Woodland Venture,100/8 
1968,Fort Leney,11/2 
1969,What A Myth,8/1 
1970,L'Escargot,33/1 
1971,L'Escargot,7/2 
1972,Glencaraig Lady,6/1 
1973,The Dikler,9/1 
1974,Captain Christy,7/1 
1975,Ten Up,2/1 
1976,Royal Frolic,14/1 
1977,Davy Lad,14/1 
1978,Midnight Court,5/2 
1979,Alverton,5/1 
1980,Master Smudge [4],14/1 
1981,Little Owl,6/1 
1982,Silver Buck,8/1 
1983,Bregawn,100/30 
1984,Burrough Hill Lad,7/2 
1985,Forgive 'n Forget,7/1 
1986,Dawn Run,15/8f 
1987,The Thinker,13/2 
1988,Charter Party,10/1 
1989,Desert Orchid,5/2 
1990,Norton's Coin,100/1 
1991,Garrison Savannah,16/1 
1992,Cool Ground,25/1 
1993,Jodami,8/1 
1994,The Fellow,7/1 
1995,Master Oats,100/30 
1996,Imperial Call,9/2 
1997,Mr Mulligan,20/1 
1998,Cool Dawn,25/1 
1999,See More Business,16/1 
2000,Looks Like Trouble,9/2 
2002,Best Mate,7/1 
2003,Best Mate,13/8f 
2004,Best Mate,8/11f 
2005,Kicking King,4/1f 
2006,War of Attrition,15/2 
2007,Kauto Star,5/4f 
2008,Denman,9/4 
2009,Kauto Star,7/4f 
2010,Imperial Commander,7/1 
2011,Long Run,7/2f 
2012,Synchronised,8/1 
2013,Bobs Worth,11/4f 
2014,Lord Windermere,20/1 
2015,Coneygree,7/1 
2016,Don Cossack,9/4f 
