1947,Rowland Roy,N/A
1948,Cottage Rake,N/A
1949,Finnure,N/A
1950,Manicou,N/A
1951,Statecraft,N/A
1952,Halloween,N/A
1953,Galloway Braes,N/A
1954,Halloween,N/A
1955,Limber Hill,N/A
1956,Rose Park,N/A
1957,Mandarin,N/A
1958,Lochroe,N/A
1959,Mandarin,N/A
1960,Saffron Tartan,N/A
1963,Mill House,N/A
1964,Frenchman's Cove,N/A
1965,Arkle,N/A
1966,Dormant,N/A
1969,Titus Oates,N/A
1971,The Dikler,N/A
1972,Pendil,N/A
1973,Pendil,N/A
1974,Captain Christy,N/A
1975,Captain Christy,N/A
1976,Royal Marshall II,N/A
1977,Bachelor's Hall,N/A
1978,Gay Spartan,N/A
1979,Silver Buck,N/A
1980,Silver Buck,N/A
1982,Wayward Lad,N/A
1983,Wayward Lad,N/A
1984,Burrough Hill Lad,N/A
1985,Wayward Lad,N/A
1986,Desert Orchid,N/A
1987,Nupsala,N/A
1988,Desert Orchid,N/A
1989,Desert Orchid,N/A
1990,Desert Orchid,N/A
1991,The Fellow,N/A
1992,The Fellow,N/A
1993,Barton Bank,N/A
1994,Algan,N/A
1995,One Man,N/A
1996,One Man,N/A
1997,See More Business,N/A
1998,Teeton Mill,N/A
1999,See More Business,N/A
2000,First Gold,N/A
2001,Florida Pearl,N/A
2002,Best Mate,N/A
2003,Edredon Bleu,N/A
2004,Kicking King,N/A
2005,Kicking King,N/A
2006,Kauto Star,N/A
2007,Kauto Star,N/A
2008,Kauto Star,N/A
2009,Kauto Star,N/A
2010,Long Run,N/A
2011,Kauto Star,N/A
2012,Long Run,N/A
2013,Silviniaco Conti,N/A
2014,Silviniaco Conti,N/A
2015,Cue Card,N/A
